5	3200
n006353	53	38
n006353	93	98
n006353	30	53
n006353	56	30
n006353	44	84
n006353	80	89
n006353	56	99
n006353	85	97
n009129	98	89
n009129	36	32
n009129	48	46
n009129	54	71
n009129	56	29
n009129	31	61
n009129	3	16
n009129	27	3
n009129	75	27
n009129	69	85
n006159	12	8
n006159	60	98
n006159	91	88
n006159	19	57
n006159	51	22
n006159	85	53
n006159	25	4
n006159	2	22
n006159	48	28
n006159	35	86
n000433	33	15
n000433	30	53
n000433	20	11
n000433	18	85
n000433	56	46
n000433	36	69
n000433	53	34
n000433	37	85
n000433	3	55
n000433	13	9
n004631	88	51
n004631	76	76
n004631	92	59
n004631	83	15
n004631	21	54
n004631	56	53
n004631	73	85
n004631	53	72
n004631	21	53
n004631	95	24
n004468	51	66
n004468	83	65
n004468	85	81
n004468	10	43
n004468	90	53
n004468	18	84
n004468	36	4
n004468	44	61
n004468	56	50
n004468	63	20
n000838	11	72
n000838	21	66
n000838	34	24
n000838	87	65
n000838	7	55
n000838	82	30
n000838	97	73
n000838	70	53
n000838	99	12
n000838	24	2
n009142	86	3
n009142	8	71
n009142	63	66
n009142	69	41
n009142	84	74
n009142	48	59
n009142	60	46
n009142	29	64
n009142	80	16
n009142	78	76
n005911	57	32
n005911	66	27
n005911	93	21
n005911	58	80
n005911	37	52
n005911	52	15
n005911	7	98
n005911	24	59
n005911	9	24
n005911	3	92
n007810	5	44
n007810	55	37
n007810	31	4
n007810	35	51
n007810	92	80
n007810	100	43
n007810	25	10
n007810	54	16
n007810	96	92
n007810	46	73
n005772	16	68
n005772	28	65
n005772	22	82
n005772	9	90
n005772	51	58
n005772	89	10
n005772	15	16
n005772	92	84
n005772	67	99
n005772	86	48
n001577	81	76
n001577	25	38
n001577	41	42
n001577	46	71
n001577	12	3
n001577	1	4
n001577	93	64
n001577	71	66
n001577	77	91
n001577	14	95
n006336	36	14
n006336	44	74
n006336	60	79
n006336	82	83
n006336	51	5
n006336	30	87
n006336	95	1
n006336	3	13
n006336	67	4
n006336	46	45
n006309	92	53
n006309	22	67
n006309	33	39
n006309	63	48
n006309	69	55
n006309	88	5
n006309	7	6
n006309	63	61
n006309	48	37
n006309	15	74
n000028	15	69
n000028	38	73
n000028	97	91
n000028	42	2
n000028	41	86
n000028	88	11
n000028	26	9
n000028	21	35
n000028	51	76
n000028	52	83
n004685	66	55
n004685	65	35
n004685	3	42
n004685	79	65
n004685	94	79
n004685	20	27
n004685	73	8
n004685	74	85
n004685	84	14
n004685	6	61
n003666	59	74
n003666	12	68
n003666	89	81
n003666	61	76
n003666	90	81
n003666	66	88
n003666	79	60
n003666	41	1
n003666	88	63
n003666	69	72
n006770	98	42
n006770	84	36
n006770	44	62
n006770	63	22
n006770	25	8
n006770	24	49
n006770	46	63
n006770	6	52
n006770	76	92
n006770	70	3
n002912	100	76
n002912	12	94
n002912	27	43
n002912	98	50
n002912	96	75
n002912	67	57
n002912	51	21
n002912	43	74
n002912	61	48
n002912	9	15
n007497	87	41
n007497	72	28
n007497	42	40
n007497	2	23
n007497	87	28
n007497	20	86
n007497	91	16
n007497	61	29
n007497	49	27
n007497	2	12
n001304	13	44
n001304	23	88
n001304	77	76
n001304	44	62
n001304	30	68
n001304	49	84
n001304	62	75
n001304	47	18
n001304	61	26
n001304	32	46
n000010	3	79
n000010	57	79
n000010	51	10
n000010	32	42
n000010	72	10
n000010	50	89
n000010	99	28
n000010	16	29
n000010	28	24
n000010	83	26
n006128	67	89
n006128	59	96
n006128	24	95
n006128	63	15
n006128	71	85
n006128	54	50
n006128	67	97
n006128	4	64
n006128	53	48
n006128	10	18
n006587	69	21
n006587	58	68
n006587	38	47
n006587	7	4
n006587	32	70
n006587	32	77
n006587	75	25
n006587	36	5
n006587	73	40
n006587	30	26
n004486	82	54
n004486	85	40
n004486	47	15
n004486	27	13
n004486	61	24
n004486	69	61
n004486	61	61
n004486	2	21
n004486	44	51
n004486	86	92
n005108	74	70
n005108	28	41
n005108	53	5
n005108	20	34
n005108	17	83
n005108	39	22
n005108	13	40
n005108	66	93
n005108	6	97
n005108	48	84
n008273	35	7
n008273	48	90
n008273	15	7
n008273	85	18
n008273	96	78
n008273	73	31
n008273	87	17
n008273	23	83
n008273	25	90
n008273	66	100
n001597	6	17
n001597	24	74
n001597	31	1
n001597	37	76
n001597	70	64
n001597	54	59
n001597	53	5
n001597	82	33
n001597	22	35
n001597	67	24
n008816	97	58
n008816	43	50
n008816	46	38
n008816	92	78
n008816	6	22
n008816	23	13
n008816	74	66
n008816	9	56
n008816	9	45
n008816	31	32
n007406	65	1
n007406	20	56
n007406	42	58
n007406	21	50
n007406	99	2
n007406	8	1
n007406	23	23
n007406	97	52
n007406	99	45
n007406	19	27
n003436	84	60
n003436	82	87
n003436	11	53
n003436	43	53
n003436	18	21
n003436	6	48
n003436	80	51
n003436	29	22
n003436	20	3
n003436	24	85
n007096	38	87
n007096	15	69
n007096	65	85
n007096	82	47
n007096	11	62
n007096	65	17
n007096	80	32
n007096	82	95
n007096	57	98
n007096	66	92
n000882	4	48
n000882	54	54
n000882	17	26
n000882	21	94
n000882	74	63
n000882	51	44
n000882	79	56
n000882	17	41
n000882	36	71
n000882	45	58
n001366	34	57
n001366	42	92
n001366	24	38
n001366	63	67
n001366	17	21
n001366	53	8
n001366	42	82
n001366	48	76
n001366	72	21
n001366	91	31
n006723	47	11
n006723	24	38
n006723	2	19
n006723	90	3
n006723	29	5
n006723	58	51
n006723	96	35
n006723	26	21
n006723	83	18
n006723	26	94
n003635	79	69
n003635	55	84
n003635	7	13
n003635	47	6
n003635	93	20
n003635	31	75
n003635	10	51
n003635	27	96
n003635	61	74
n003635	86	77
n005704	61	14
n005704	79	54
n005704	46	5
n005704	39	95
n005704	65	69
n005704	84	6
n005704	29	28
n005704	79	20
n005704	35	41
n005704	44	74
n000878	28	6
n000878	72	79
n000878	42	78
n000878	16	64
n000878	29	80
n000878	78	67
n000878	47	48
n000878	13	86
n000878	46	69
n000878	40	66
n008686	88	8
n008686	25	98
n008686	9	23
n008686	39	67
n008686	35	1
n008686	60	19
n008686	98	49
n008686	76	63
n008686	42	53
n008686	18	64
n000840	45	16
n000840	30	96
n000840	85	25
n000840	4	76
n000840	31	72
n000840	13	79
n000840	11	2
n000840	77	38
n000840	36	28
n000840	47	43
n007498	65	11
n007498	21	14
n007498	65	74
n007498	88	67
n007498	36	31
n007498	18	22
n007498	90	81
n007498	49	39
n007498	10	31
n007498	26	34
n004474	48	85
n004474	6	88
n004474	25	88
n004474	38	23
n004474	59	41
n004474	4	53
n004474	39	61
n004474	66	92
n004474	26	59
n004474	98	5
n006581	23	60
n006581	88	56
n006581	39	99
n006581	2	25
n006581	97	48
n006581	55	28
n006581	88	70
n006581	58	51
n006581	8	14
n006581	76	36
n001596	70	32
n001596	49	96
n001596	74	85
n001596	37	66
n001596	100	55
n001596	18	89
n001596	60	73
n001596	65	4
n001596	84	53
n001596	11	48
n003464	53	38
n003464	16	80
n003464	92	7
n003464	97	62
n003464	98	63
n003464	66	48
n003464	65	10
n003464	80	3
n003464	89	70
n003464	75	11
n005793	97	11
n005793	96	59
n005793	100	1
n005793	75	79
n005793	81	19
n005793	88	42
n005793	43	72
n005793	68	49
n005793	27	92
n005793	78	17
n001565	2	28
n001565	74	84
n001565	89	86
n001565	40	66
n001565	52	42
n001565	21	30
n001565	92	31
n001565	90	95
n001565	63	19
n001565	80	53
n008618	7	39
n008618	59	89
n008618	19	49
n008618	31	22
n008618	5	99
n008618	20	38
n008618	67	65
n008618	91	1
n008618	80	39
n008618	3	74
n002580	8	83
n002580	26	5
n002580	46	17
n002580	55	99
n002580	13	12
n002580	72	12
n002580	50	22
n002580	68	35
n002580	55	60
n002580	85	98
n007802	74	58
n007802	87	62
n007802	76	99
n007802	16	35
n007802	52	57
n007802	3	45
n007802	86	87
n007802	34	81
n007802	31	27
n007802	49	10
n005756	81	72
n005756	34	11
n005756	93	11
n005756	67	11
n005756	76	16
n005756	29	65
n005756	55	84
n005756	69	38
n005756	63	42
n005756	23	100
n007055	92	76
n007055	39	58
n007055	89	18
n007055	85	86
n007055	27	44
n007055	10	29
n007055	87	23
n007055	69	3
n007055	45	62
n007055	27	26
n008022	35	66
n008022	64	99
n008022	11	40
n008022	14	65
n008022	9	56
n008022	4	97
n008022	10	85
n008022	5	50
n008022	90	45
n008022	53	81
n008446	66	50
n008446	95	98
n008446	71	27
n008446	56	55
n008446	6	83
n008446	70	33
n008446	52	86
n008446	7	89
n008446	6	77
n008446	95	15
n007097	99	52
n007097	91	33
n007097	9	37
n007097	90	53
n007097	87	68
n007097	46	3
n007097	58	48
n007097	85	45
n007097	53	83
n007097	96	71
n000410	75	22
n000410	48	58
n000410	84	96
n000410	52	32
n000410	56	25
n000410	90	88
n000410	68	62
n000410	36	11
n000410	48	34
n000410	100	21
n007912	91	67
n007912	35	47
n007912	8	86
n007912	88	33
n007912	68	76
n007912	88	81
n007912	38	63
n007912	21	31
n007912	59	90
n007912	96	86
n008730	54	53
n008730	38	99
n008730	38	69
n008730	36	26
n008730	18	7
n008730	60	5
n008730	100	37
n008730	89	96
n008730	35	95
n008730	7	89
n009040	37	98
n009040	100	25
n009040	63	42
n009040	1	59
n009040	40	16
n009040	44	63
n009040	19	90
n009040	35	82
n009040	2	91
n009040	56	6
n008737	48	37
n008737	81	9
n008737	65	18
n008737	30	90
n008737	68	30
n008737	94	75
n008737	95	73
n008737	38	21
n008737	37	78
n008737	61	40
n004767	34	17
n004767	35	16
n004767	66	47
n004767	34	28
n004767	90	49
n004767	60	61
n004767	86	29
n004767	72	26
n004767	20	28
n004767	68	62
n009085	72	94
n009085	50	43
n009085	98	79
n009085	37	60
n009085	10	82
n009085	84	77
n009085	18	66
n009085	80	53
n009085	54	6
n009085	14	77
n006462	55	24
n006462	92	42
n006462	91	60
n006462	32	37
n006462	15	3
n006462	80	40
n006462	86	75
n006462	75	73
n006462	23	95
n006462	84	95
n007782	35	10
n007782	62	10
n007782	99	53
n007782	86	48
n007782	50	16
n007782	60	40
n007782	32	9
n007782	14	19
n007782	38	2
n007782	36	69
n000137	90	4
n000137	77	36
n000137	68	62
n000137	79	7
n000137	34	87
n000137	21	42
n000137	44	93
n000137	10	49
n000137	45	72
n000137	100	93
n009076	94	79
n009076	94	26
n009076	34	63
n009076	62	24
n009076	86	67
n009076	28	56
n009076	76	22
n009076	28	100
n009076	12	43
n009076	37	51
n003573	25	68
n003573	83	23
n003573	82	67
n003573	19	79
n003573	99	84
n003573	94	77
n003573	95	42
n003573	10	21
n003573	19	93
n003573	84	98
n002859	4	96
n002859	61	49
n002859	85	43
n002859	60	49
n002859	87	98
n002859	85	29
n002859	81	80
n002859	99	44
n002859	92	66
n002859	40	92
n001426	83	24
n001426	84	85
n001426	55	12
n001426	78	23
n001426	75	80
n001426	12	66
n001426	63	59
n001426	66	18
n001426	96	26
n001426	28	71
n005429	96	100
n005429	23	8
n005429	77	38
n005429	14	39
n005429	68	93
n005429	25	33
n005429	64	56
n005429	68	68
n005429	23	43
n005429	17	63
n006604	5	88
n006604	84	79
n006604	96	30
n006604	31	3
n006604	50	63
n006604	78	66
n006604	36	91
n006604	13	88
n006604	33	78
n006604	13	91
n001283	50	96
n001283	56	6
n001283	36	31
n001283	25	92
n001283	100	41
n001283	1	45
n001283	45	46
n001283	12	55
n001283	4	58
n001283	94	5
n006064	70	72
n006064	2	52
n006064	19	45
n006064	86	12
n006064	4	100
n006064	45	5
n006064	78	93
n006064	92	89
n006064	4	29
n006064	1	54
n008763	32	6
n008763	51	36
n008763	2	71
n008763	54	99
n008763	31	60
n008763	90	6
n008763	68	64
n008763	37	84
n008763	53	89
n008763	33	83
n008764	25	29
n008764	23	30
n008764	90	13
n008764	46	95
n008764	48	45
n008764	68	17
n008764	90	63
n008764	52	8
n008764	27	76
n008764	61	49
n004539	45	98
n004539	93	76
n004539	32	36
n004539	96	97
n004539	79	84
n004539	54	23
n004539	27	51
n004539	52	14
n004539	65	76
n004539	37	61
n004768	45	75
n004768	83	45
n004768	12	97
n004768	95	72
n004768	88	4
n004768	79	14
n004768	53	46
n004768	93	100
n004768	79	97
n004768	1	43
n009083	15	72
n009083	53	80
n009083	60	49
n009083	12	70
n009083	80	40
n009083	30	96
n009083	97	28
n009083	43	2
n009083	31	9
n009083	15	64
n000136	66	52
n000136	100	92
n000136	28	63
n000136	87	71
n000136	92	34
n000136	16	95
n000136	24	59
n000136	21	100
n000136	62	13
n000136	91	36
n005472	78	81
n005472	18	56
n005472	53	53
n005472	68	77
n005472	6	10
n005472	27	55
n005472	92	33
n005472	77	54
n005472	35	34
n005472	50	44
n008709	12	71
n008709	87	48
n008709	85	45
n008709	62	88
n008709	90	60
n008709	32	58
n008709	74	24
n008709	29	28
n008709	46	44
n008709	75	71
n009041	14	52
n009041	90	10
n009041	41	66
n009041	6	90
n009041	34	21
n009041	52	16
n009041	8	53
n009041	59	6
n009041	45	69
n009041	82	13
n007580	43	42
n007580	44	95
n007580	20	35
n007580	91	54
n007580	80	55
n007580	18	95
n007580	8	99
n007580	96	76
n007580	96	36
n007580	13	73
n000107	48	27
n000107	61	34
n000107	57	26
n000107	56	80
n000107	69	97
n000107	39	86
n000107	4	79
n000107	4	50
n000107	47	90
n000107	32	21
n001081	35	22
n001081	46	29
n001081	3	68
n001081	63	8
n001081	97	65
n001081	79	72
n001081	51	44
n001081	7	30
n001081	47	85
n001081	28	21
n002604	89	19
n002604	15	100
n002604	88	92
n002604	60	24
n002604	54	88
n002604	7	46
n002604	99	98
n002604	57	56
n002604	2	23
n002604	7	47
n009015	35	34
n009015	42	70
n009015	60	85
n009015	77	5
n009015	42	27
n009015	19	82
n009015	42	22
n009015	14	85
n009015	3	68
n009015	43	63
n004958	4	85
n004958	1	79
n004958	68	82
n004958	47	79
n004958	34	56
n004958	96	45
n004958	96	96
n004958	67	71
n004958	75	48
n004958	28	17
n006633	33	53
n006633	38	53
n006633	51	12
n006633	95	75
n006633	70	29
n006633	2	59
n006633	16	38
n006633	51	12
n006633	75	29
n006633	61	81
n003725	35	13
n003725	53	45
n003725	14	16
n003725	30	20
n003725	92	93
n003725	31	66
n003725	61	17
n003725	88	73
n003725	87	100
n003725	90	89
n007347	6	21
n007347	91	11
n007347	40	2
n007347	98	46
n007347	46	66
n007347	20	58
n007347	58	87
n007347	69	33
n007347	62	74
n007347	77	80
n006430	73	86
n006430	82	90
n006430	61	57
n006430	68	93
n006430	91	34
n006430	93	38
n006430	34	9
n006430	70	23
n006430	10	59
n006430	67	81
n009023	39	53
n009023	50	61
n009023	71	69
n009023	28	12
n009023	28	68
n009023	77	15
n009023	96	63
n009023	26	49
n009023	43	65
n009023	15	71
n002676	23	50
n002676	12	56
n002676	15	29
n002676	2	11
n002676	7	80
n002676	52	25
n002676	65	59
n002676	100	49
n002676	5	45
n002676	37	15
n004581	10	73
n004581	89	82
n004581	35	78
n004581	4	81
n004581	2	71
n004581	100	18
n004581	50	18
n004581	26	46
n004581	19	70
n004581	72	100
n009058	63	95
n009058	30	2
n009058	72	70
n009058	49	53
n009058	38	3
n009058	77	27
n009058	44	12
n009058	27	39
n009058	63	66
n009058	47	13
n004323	72	19
n004323	67	71
n004323	12	7
n004323	37	25
n004323	39	76
n004323	37	59
n004323	55	28
n004323	52	36
n004323	42	92
n004323	39	99
n009093	16	73
n009093	24	85
n009093	54	73
n009093	94	57
n009093	60	6
n009093	70	46
n009093	42	25
n009093	91	42
n009093	3	9
n009093	87	14
n002823	42	86
n002823	64	62
n002823	6	34
n002823	24	66
n002823	91	84
n002823	44	88
n002823	10	2
n002823	69	82
n002823	86	88
n002823	42	10
n000748	29	22
n000748	72	46
n000748	86	21
n000748	52	5
n000748	8	41
n000748	80	11
n000748	25	23
n000748	44	21
n000748	83	66
n000748	35	81
n006487	8	96
n006487	39	3
n006487	56	54
n006487	19	41
n006487	48	6
n006487	93	27
n006487	38	13
n006487	49	32
n006487	3	77
n006487	66	23
n003902	63	88
n003902	79	60
n003902	91	61
n003902	46	76
n003902	43	90
n003902	71	87
n003902	69	22
n003902	39	35
